time,input_u,output_y,mode_q
5.45,3.33956698744749,58.7635383182456,2
5.46,3.36598586683567,59.6493042786874,2
5.47,3.39218904122047,60.5347324568812,2
5.48,3.41817237281689,61.4195118514433,2
5.49,3.44393175855567,62.3033297879417,2
5.5,3.46946313073118,63.1858720775151,2
5.51,3.4947624576438,64.0668231767825,2
5.52,3.51982574423651,64.9458663489506,2
5.53,3.54464903272584,65.822683826021,2
5.54,3.56922840322675,66.6969569720029,2
5.55,3.59355997437172,67.5683664470325,2
5.56,3.61763990392361,68.4365923723021,2
5.57,3.64146438938239,69.3013144957004,2
5.58,3.66502966858563,70.1622123580644,2
5.59,3.68833202030256,71.0189654599458,2
5.6,3.71136776482172,71.8712534287888,2
5.61,3.73413326453201,72.7187561864225,2
5.62,3.75662492449712,73.5611541167651,2
5.63,3.77883919302321,74.3981282336416,2
5.64,3.80077256221977,75.229360348613,2
5.65,3.82242156855353,76.054533238716,2
5.66,3.84378279339543,76.873330814014,2
5.67,3.86485286356046,77.6854382848572,2
5.68,3.88562845184026,78.4905423287526,2
5.69,3.90610627752862,79.2883312567424,2
5.7,3.92628310693947,80.0784951791914,2
5.71,3.94615575391756,80.8607261708832,2
5.72,3.96572108034155,81.6347184353266,2
5.73,3.98497599661959,82.4001684681714,2
5.74,4.00391746217719,83.1567752196372,2
5.75,4.02254248593737,83.9042402558559,2
5.76,4.04084812679296,84.6422679190309,2
5.77,4.05883149407107,85.3705654863159,2
5.78,4.07648974798953,86.0888433273188,2
5.79,4.09382010010535,86.7968150601331,2
5.8,4.11081981375504,87.494197705805,2
5.81,4.12748620448673,88.1807118411413,2
5.82,4.14381664048413,88.8560817497659,2
5.83,4.15980854298209,89.5200355713338,2
5.84,4.17545938667381,90.1723054488123,2
5.85,4.19076670010966,90.8126276737399,2
5.86,4.20572806608738,91.4407428293756,2
5.87,4.22034112203386,92.0563959316502,2
5.88,4.23460356037816,92.6593365678369,2
5.89,4.24851312891593,93.249319032855,2
5.9,4.26206763116505,93.8261024631243,2
5.91,4.27526492671249,94.3894509678897,2
5.92,4.28810293155229,94.9391337579369,2
5.93,4.30057961841467,95.4749252716185,2
5.94,4.31269301708614,95.996605298118,2
5.95,4.32444121472063,96.5039590978722,2
5.96,4.33582235614153,96.9967775200834,2
5.97,4.34683464413468,97.4748571172475,2
5.98,4.35747633973216,97.9380002566279,2
5.99,4.36774576248686,98.3860152286096,2
6,4.37764129073788,98.8187163518662,2
6.01,4.38716136186661,99.2359240752763,2
6.02,4.39630447254344,99.6374650765272,2
6.03,4.40506917896521,100.023172357346,2
6.04,4.41345409708318,100.392885335302,2
6.05,4.42145790282158,100.746449932117,2
